method,attack,non_iid,byzantine_fraction,threshold,mean_accuracy,std_accuracy,ci_low,ci_high,mean_tpr,mean_fpr
PoEx,sign_flip,False,0.3,0.7,0.9719298245614036,0.0035087719298245723,0.9670588682364952,0.9768007808863121,0.0,0.0
PoEx,sign_flip,False,0.3,0.8,0.9719298245614036,0.0035087719298245723,0.9670588682364952,0.9768007808863121,0.0,0.0
PoEx,sign_flip,False,0.3,0.9,0.9719298245614036,0.0035087719298245723,0.9670588682364952,0.9768007808863121,0.0,0.0
FedAvg,sign_flip,False,0.1,0.5,0.9666666666666666,0.010229740166395296,0.9524655106604498,0.9808678226728833,,
Krum,sign_flip,False,0.1,0.5,0.9649122807017545,0.014678246079545165,0.9445356084615335,0.9852889529419755,,
MultiKrum,sign_flip,False,0.1,0.5,0.9649122807017545,0.011095711088310138,0.9495089643318407,0.9803155970716683,,
FLTrust,sign_flip,False,0.1,0.5,0.9649122807017545,0.011095711088310138,0.9495089643318407,0.9803155970716683,,
FLAME,sign_flip,False,0.1,0.5,0.9649122807017545,0.014678246079545204,0.9445356084615335,0.9852889529419755,,
PoEx,sign_flip,False,0.1,0.5,0.9666666666666666,0.010229740166395296,0.9524655106604498,0.9808678226728833,0.0,0.0
FedAvg,sign_flip,False,0.2,0.5,0.9614035087719298,0.01312862240973313,0.943178059058183,0.9796289584856767,,
Krum,sign_flip,False,0.2,0.5,0.9649122807017545,0.014678246079545165,0.9445356084615335,0.9852889529419755,,
MultiKrum,sign_flip,False,0.2,0.5,0.9649122807017545,0.012405382126079788,0.9476908494607232,0.9821337119427858,,
FLTrust,sign_flip,False,0.2,0.5,0.8350877192982458,0.2598268713545043,0.47439019671271,1.1957852418837815,,
FLAME,sign_flip,False,0.2,0.5,0.9649122807017545,0.007845852552630865,0.9540204912438267,0.9758040701596823,,
PoEx,sign_flip,False,0.2,0.5,0.9614035087719298,0.01312862240973313,0.943178059058183,0.9796289584856767,0.0,0.0
