run,seed,method,attack_type,attack_intensity,n_malicious,round,accuracy,precision,recall,f1_score,auc_roc,time,comm_bytes_per_client,comm_bytes_total,avg_nsds,min_trust,max_trust
2,44,fedxchain,label_flip,0.3,1,4,0.78,0.7692307692307693,0.8,0.7843137254901961,0.8452,1.373147964477539,328,1640,0.18457415728292778,0.18708668908110665,0.21439944768335717
2,44,fedxchain,label_flip,0.3,1,5,0.77,0.8,0.72,0.7578947368421053,0.8526,1.454768180847168,328,1640,0.17967558345348394,0.17959628130304847,0.21464217720572978
0,42,fedavg,gaussian_noise,0.5,1,1,0.82,0.9210526315789473,0.7,0.7954545454545454,0.9348000000000001,0.0059337615966796875,168,840,,,
0,42,fedavg,gaussian_noise,0.5,1,2,0.83,0.8837209302325582,0.76,0.8172043010752689,0.9166,0.007056713104248047,168,840,,,
0,42,fedavg,gaussian_noise,0.5,1,3,0.85,0.8723404255319149,0.82,0.845360824742268,0.9388,0.0065767765045166016,168,840,,,
0,42,fedavg,gaussian_noise,0.5,1,4,0.82,0.8636363636363636,0.76,0.8085106382978723,0.9068,0.006387948989868164,168,840,,,
0,42,fedavg,gaussian_noise,0.5,1,5,0.83,0.8837209302325582,0.76,0.8172043010752689,0.9122,0.008363485336303711,168,840,,,
1,43,fedavg,gaussian_noise,0.5,1,1,0.79,0.8085106382978723,0.76,0.7835051546391752,0.8538,0.0049016475677490234,168,840,,,
1,43,fedavg,gaussian_noise,0.5,1,2,0.81,0.803921568627451,0.82,0.8118811881188119,0.8889999999999999,0.006981611251831055,168,840,,,
1,43,fedavg,gaussian_noise,0.5,1,3,0.83,0.8235294117647058,0.84,0.8316831683168316,0.8824,0.007179975509643555,168,840,,,
1,43,fedavg,gaussian_noise,0.5,1,4,0.78,0.8181818181818182,0.72,0.7659574468085106,0.8639999999999999,0.0069005489349365234,168,840,,,
1,43,fedavg,gaussian_noise,0.5,1,5,0.8,0.8125,0.78,0.7959183673469388,0.856,0.005420207977294922,168,840,,,
2,44,fedavg,gaussian_noise,0.5,1,1,0.8,0.7777777777777778,0.84,0.8076923076923077,0.848,0.008220672607421875,168,840,,,
2,44,fedavg,gaussian_noise,0.5,1,2,0.81,0.7818181818181819,0.86,0.819047619047619,0.8493999999999999,0.006287574768066406,168,840,,,
2,44,fedavg,gaussian_noise,0.5,1,3,0.82,0.8076923076923077,0.84,0.8235294117647058,0.8844,0.004703998565673828,168,840,,,
2,44,fedavg,gaussian_noise,0.5,1,4,0.8,0.8,0.8,0.8,0.8872,0.006407499313354492,168,840,,,
2,44,fedavg,gaussian_noise,0.5,1,5,0.8,0.7777777777777778,0.84,0.8076923076923077,0.9087999999999999,0.00626373291015625,168,840,,,
0,42,fedxchain,gaussian_noise,0.5,1,1,0.84,0.9047619047619048,0.76,0.8260869565217391,0.929,1.3854589462280273,328,1640,0.2054201596043681,0.18478117893320029,0.2097901429826873
0,42,fedxchain,gaussian_noise,0.5,1,2,0.86,0.875,0.84,0.8571428571428571,0.8992,1.420893907546997,328,1640,0.18840850125199143,0.1792957568355391,0.2204843179480348
0,42,fedxchain,gaussian_noise,0.5,1,3,0.82,0.8636363636363636,0.76,0.8085106382978723,0.9116,1.3806486129760742,328,1640,0.12397376009957017,0.18742648313243035,0.21461108278712354
0,42,fedxchain,gaussian_noise,0.5,1,4,0.83,0.8837209302325582,0.76,0.8172043010752689,0.9218000000000001,1.3560948371887207,328,1640,0.12962947341207182,0.1911916840970928,0.21341770523845782
0,42,fedxchain,gaussian_noise,0.5,1,5,0.82,0.9,0.72,0.8,0.9136,1.3881685733795166,328,1640,0.12009802720336633,0.18511479768816544,0.21577734757121375
1,43,fedxchain,gaussian_noise,0.5,1,1,0.83,0.8235294117647058,0.84,0.8316831683168316,0.8612,1.376016616821289,328,1640,0.22489027791296629,0.17762477348682276,0.2142372658785187
1,43,fedxchain,gaussian_noise,0.5,1,2,0.82,0.7857142857142857,0.88,0.8301886792452831,0.8678,1.3524208068847656,328,1640,0.13710344664990642,0.1884296527232164,0.21410490269523635
1,43,fedxchain,gaussian_noise,0.5,1,3,0.82,0.8333333333333334,0.8,0.8163265306122449,0.8636,1.3674538135528564,328,1640,0.16371502265198976,0.18393410475752123,0.21706740321168014
1,43,fedxchain,gaussian_noise,0.5,1,4,0.82,0.7962962962962963,0.86,0.8269230769230769,0.8603999999999999,1.3408992290496826,328,1640,0.1522563424754685,0.1870507311583261,0.2099130023794176
1,43,fedxchain,gaussian_noise,0.5,1,5,0.84,0.8695652173913043,0.8,0.8333333333333334,0.8840000000000001,1.3635973930358887,328,1640,0.11698989843346497,0.18796933604556423,0.209590345050822
2,44,fedxchain,gaussian_noise,0.5,1,1,0.75,0.7906976744186046,0.68,0.7311827956989247,0.8292,1.3489680290222168,328,1640,0.16490268841939096,0.18823406598894285,0.2065334720632165
2,44,fedxchain,gaussian_noise,0.5,1,2,0.76,0.8095238095238095,0.68,0.7391304347826086,0.8438,1.405789852142334,328,1640,0.13711994109861386,0.19058642039605564,0.2099217941294595
2,44,fedxchain,gaussian_noise,0.5,1,3,0.77,0.813953488372093,0.7,0.7526881720430108,0.857,1.3863260746002197,328,1640,0.19324171156694173,0.16446733243046754,0.22296678570901873
2,44,fedxchain,gaussian_noise,0.5,1,4,0.78,0.8181818181818182,0.72,0.7659574468085106,0.854,1.4866974353790283,328,1640,0.15157013382127413,0.17675840675884266,0.21568606819999175
2,44,fedxchain,gaussian_noise,0.5,1,5,0.81,0.8297872340425532,0.78,0.8041237113402062,0.8688,1.3852643966674805,328,1640,0.13852685089898997,0.17716843572145766,0.21015307492723528
